case_id,model,temperature,trial,judge,tag_id,score,judge_success,judge_error,retry_count,elapsed_sec
A1,gemini,0.0,13,gpt4o,A1_08,1,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_09,2,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_11,0,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_12,2,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_14,0,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_15,2,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_16,2,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_17,2,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_18,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_08,1,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_09,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_11,0,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_12,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_14,0,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_15,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_16,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_17,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_18,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_19,2,True,,0,14.99
A1,gemini,0.0,10,gpt4o,A1_20,1,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_08,1,True,,0,14.99
A1,gemini,0.0,4,gpt4o,A1_08,1,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_09,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_11,0,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_12,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_14,0,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_15,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_16,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_17,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_18,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_19,2,True,,0,15.0
A1,gemini,0.0,4,gpt4o,A1_20,1,True,,0,15.0
A1,gemini,0.0,13,gpt4o,A1_19,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_09,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_11,0,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_12,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_14,0,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_15,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_16,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_17,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_18,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_19,2,True,,0,14.99
A1,gemini,0.0,12,gpt4o,A1_20,1,True,,0,14.99
A1,gemini,0.0,13,gpt4o,A1_20,1,True,,0,14.99
A1,gemini,0.0,7,gpt4o,A1_08,1,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_09,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_11,0,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_12,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_14,0,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_15,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_16,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_17,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_18,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_19,2,True,,0,14.88
A1,gemini,0.0,7,gpt4o,A1_20,1,True,,0,14.88
A1,gemini,0.0,5,gpt4o,A1_08,1,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_09,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_11,0,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_12,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_14,0,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_15,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_16,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_17,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_18,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_19,2,True,,0,14.45
A1,gemini,0.0,5,gpt4o,A1_20,1,True,,0,14.45
A1,gemini,0.0,14,gpt4o,A1_08,1,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_09,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_11,0,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_12,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_14,0,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_15,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_16,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_17,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_18,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_19,2,True,,0,15.16
A1,gemini,0.0,14,gpt4o,A1_20,0,True,,0,15.16
A1,gemini,0.0,6,gpt4o,A1_08,1,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_09,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_11,0,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_12,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_14,0,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_15,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_16,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_17,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_18,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_19,2,True,,0,15.15
A1,gemini,0.0,6,gpt4o,A1_20,1,True,,0,15.15
A1,gemini,0.0,3,gpt4o,A1_08,1,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_09,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_11,0,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_12,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_14,0,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_15,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_16,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_17,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_18,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_19,2,True,,0,15.43
A1,gemini,0.0,3,gpt4o,A1_20,1,True,,0,15.43
A1,gemini,0.0,2,gpt4o,A1_08,1,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_09,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_11,0,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_12,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_14,0,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_15,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_16,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_17,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_18,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_19,2,True,,0,15.51
A1,gemini,0.0,2,gpt4o,A1_20,1,True,,0,15.51
A1,gemini,0.0,1,gpt4o,A1_08,1,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_09,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_11,0,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_12,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_14,0,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_15,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_16,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_17,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_18,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_19,2,True,,0,15.08
A1,gemini,0.0,1,gpt4o,A1_20,1,True,,0,15.08
A1,gemini,0.0,9,gpt4o,A1_08,1,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_09,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_11,0,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_12,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_14,0,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_15,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_16,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_17,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_18,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_19,2,True,,0,16.14
A1,gemini,0.0,9,gpt4o,A1_20,1,True,,0,16.14
A1,gemini,0.0,8,gpt4o,A1_08,1,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_09,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_11,0,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_12,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_14,0,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_15,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_16,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_17,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_18,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_19,2,True,,0,4.76
A1,gemini,0.0,8,gpt4o,A1_20,1,True,,0,4.76
A1,gpt,0.0,12,gpt4o,A1_08,0,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_09,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_11,0,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_12,0,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_14,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_15,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_16,0,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_17,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_18,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_19,2,True,,0,4.82
A1,gpt,0.0,12,gpt4o,A1_20,0,True,,0,4.82
A1,gpt,0.0,9,gpt4o,A1_08,0,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_09,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_11,0,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_12,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_14,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_15,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_16,0,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_17,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_18,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_19,2,True,,0,4.84
A1,gpt,0.0,9,gpt4o,A1_20,0,True,,0,4.84
A1,gpt,0.0,11,gpt4o,A1_08,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_09,2,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_11,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_12,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_14,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_15,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_16,0,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_17,2,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_18,2,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_19,2,True,,0,4.85
A1,gpt,0.0,11,gpt4o,A1_20,0,True,,0,4.85
A1,gpt,0.0,4,gpt4o,A1_08,1,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_09,2,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_11,0,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_12,2,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_14,0,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_15,0,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_16,0,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_17,2,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_18,2,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_19,2,True,,0,5.03
A1,gpt,0.0,4,gpt4o,A1_20,1,True,,0,5.03
A1,gpt,0.0,7,gpt4o,A1_08,0,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_09,2,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_11,0,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_12,2,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_14,0,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_15,0,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_16,0,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_17,2,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_18,2,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_19,2,True,,0,4.9
A1,gpt,0.0,7,gpt4o,A1_20,1,True,,0,4.9
A1,gpt,0.0,5,gpt4o,A1_08,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_09,2,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_11,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_12,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_14,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_15,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_16,0,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_17,2,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_18,2,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_19,2,True,,0,5.03
A1,gpt,0.0,5,gpt4o,A1_20,1,True,,0,5.03
A1,gpt,0.0,8,gpt4o,A1_08,0,True,,0,4.59
A1,gpt,0.0,8,gpt4o,A1_09,2,True,,0,4.59
