case_id,model,temperature,trial,tag_id,score_gpt4o,score_gemini,arbiter_score,agree,arbiter_used,final_score
A1,claude,0.0,1,A1_08,2,2,,True,False,2
A1,claude,0.0,1,A1_09,2,2,,True,False,2
A1,claude,0.0,1,A1_11,0,0,,True,False,0
A1,claude,0.0,1,A1_12,0,0,,True,False,0
A1,claude,0.0,1,A1_14,0,1,1.0,False,True,1
A1,claude,0.0,1,A1_15,0,1,0.0,False,True,0
A1,claude,0.0,1,A1_16,0,0,,True,False,0
A1,claude,0.0,1,A1_17,0,0,,True,False,0
A1,claude,0.0,1,A1_18,2,0,2.0,False,True,2
A1,claude,0.0,1,A1_19,0,0,,True,False,0
A1,claude,0.0,1,A1_20,0,0,,True,False,0
A1,claude,0.0,2,A1_08,2,2,,True,False,2
A1,claude,0.0,2,A1_09,2,2,,True,False,2
A1,claude,0.0,2,A1_11,0,0,,True,False,0
A1,claude,0.0,2,A1_12,0,0,,True,False,0
A1,claude,0.0,2,A1_14,0,2,1.0,False,True,1
A1,claude,0.0,2,A1_15,0,2,0.0,False,True,0
A1,claude,0.0,2,A1_16,0,2,0.0,False,True,0
A1,claude,0.0,2,A1_17,0,2,0.0,False,True,0
A1,claude,0.0,2,A1_18,2,1,2.0,False,True,2
A1,claude,0.0,2,A1_19,0,2,0.0,False,True,0
A1,claude,0.0,2,A1_20,0,2,1.0,False,True,1
A1,claude,0.0,3,A1_08,1,1,,True,False,1
A1,claude,0.0,3,A1_09,2,2,,True,False,2
A1,claude,0.0,3,A1_11,0,0,,True,False,0
A1,claude,0.0,3,A1_12,0,0,,True,False,0
A1,claude,0.0,3,A1_14,0,1,1.0,False,True,1
A1,claude,0.0,3,A1_15,0,1,0.0,False,True,0
A1,claude,0.0,3,A1_16,0,0,,True,False,0
A1,claude,0.0,3,A1_17,0,0,,True,False,0
A1,claude,0.0,3,A1_18,2,0,2.0,False,True,2
A1,claude,0.0,3,A1_19,0,0,,True,False,0
A1,claude,0.0,3,A1_20,0,0,,True,False,0
A1,claude,0.0,4,A1_08,2,1,1.0,False,True,1
A1,claude,0.0,4,A1_09,2,2,,True,False,2
