case_id,model,temperature,trial,judge,tag_id,score,judge_success,judge_error,retry_count,elapsed_sec
C3,gpt,0.0,7,gpt4o,C3_14,2,True,,0,14.94
C3,gpt,0.0,17,gpt4o,C3_14,2,True,,0,14.94
C3,gpt,0.0,11,gpt4o,C3_14,2,True,,0,14.95
C3,gemini,1.0,23,gpt4o,C3_14,2,True,,0,14.99
C3,gemini,1.0,24,gpt4o,C3_14,2,True,,0,14.97
C3,gpt,0.0,5,gpt4o,C3_14,2,True,,0,15.01
C3,gpt,0.0,1,gpt4o,C3_14,2,True,,0,15.05
C3,gpt,0.0,12,gpt4o,C3_14,2,True,,0,15.05
C3,gpt,0.0,15,gpt4o,C3_14,2,True,,0,15.06
C3,gpt,0.0,14,gpt4o,C3_14,2,True,,0,15.09
C3,gpt,0.0,9,gpt4o,C3_14,2,True,,0,15.16
C3,gemini,1.0,30,gpt4o,C3_14,2,True,,0,15.19
C3,gpt,0.0,16,gpt4o,C3_14,2,True,,0,3.98
C3,gpt,1.0,6,gpt4o,C3_14,2,True,,0,3.82
C3,gpt,0.0,20,gpt4o,C3_14,2,True,,0,4.02
C3,gpt,1.0,3,gpt4o,C3_14,2,True,,0,3.87
C3,gpt,0.0,22,gpt4o,C3_14,2,True,,0,4.06
C3,gpt,1.0,15,gpt4o,C3_14,2,True,,0,3.91
C3,gpt,1.0,7,gpt4o,C3_14,2,True,,0,4.05
C3,gpt,0.0,18,gpt4o,C3_14,2,True,,0,4.18
C3,gpt,0.0,28,gpt4o,C3_14,2,True,,0,4.18
C3,gpt,0.0,29,gpt4o,C3_14,2,True,,0,4.13
C3,gpt,1.0,1,gpt4o,C3_14,2,True,,0,4.21
C3,gpt,0.0,6,gpt4o,C3_14,2,True,,0,4.33
C3,gpt,1.0,10,gpt4o,C3_14,2,True,,0,3.74
C3,gpt,1.0,24,gpt4o,C3_14,2,True,,0,3.84
C3,gpt,1.0,29,gpt4o,C3_14,2,True,,0,3.82
C3,gpt,1.0,5,gpt4o,C3_14,2,True,,0,4.2
C3,gpt,1.0,9,gpt4o,C3_14,2,True,,0,4.12
C3,gpt,1.0,27,gpt4o,C3_14,2,True,,0,3.98
C3,gpt,1.0,25,gpt4o,C3_14,1,True,,0,4.08
C3,gpt,1.0,30,gpt4o,C3_14,2,True,,0,3.94
C3,gpt,1.0,12,gpt4o,C3_14,2,True,,0,4.11
C3,gpt,1.0,13,gpt4o,C3_14,2,True,,0,4.16
C3,gpt,1.0,26,gpt4o,C3_14,2,True,,0,4.13
C3,gpt,1.0,11,gpt4o,C3_14,2,True,,0,4.32
P2,gpt,0.0,6,gpt4o,P2_10,2,True,,0,2.28
P2,gpt,0.0,10,gpt4o,P2_10,0,True,,0,3.8
P2,gpt,0.0,18,gpt4o,P2_10,0,True,,0,3.64
P2,gpt,0.0,12,gpt4o,P2_10,0,True,,0,3.94
P2,gpt,0.0,13,gpt4o,P2_10,0,True,,0,4.07
P2,gpt,0.0,8,gpt4o,P2_10,0,True,,0,4.15
P2,gpt,0.0,15,gpt4o,P2_10,0,True,,0,4.06
P2,gpt,0.0,7,gpt4o,P2_10,2,True,,0,4.25
P2,gpt,0.0,22,gpt4o,P2_10,0,True,,0,4.17
P2,gpt,0.0,11,gpt4o,P2_10,0,True,,0,4.15
P2,gpt,0.0,20,gpt4o,P2_10,0,True,,0,4.09
P2,gpt,0.0,9,gpt4o,P2_10,0,True,,0,4.32
P2,gpt,0.0,16,gpt4o,P2_10,0,True,,0,2.91
P2,gpt,0.0,27,gpt4o,P2_10,0,True,,0,2.84
P2,gpt,0.0,29,gpt4o,P2_10,1,True,,0,2.9
P2,gpt,1.0,17,gpt4o,P2_10,0,True,,0,4.07
P2,gpt,1.0,10,gpt4o,P2_10,0,True,,0,4.13
P2,gpt,1.0,4,gpt4o,P2_10,2,True,,0,4.28
P2,gpt,0.0,24,gpt4o,P2_10,1,True,,0,4.42
P2,gpt,1.0,1,gpt4o,P2_10,1,True,,0,4.18
P2,gpt,1.0,12,gpt4o,P2_10,2,True,,0,4.18
P2,gpt,1.0,15,gpt4o,P2_10,0,True,,0,4.14
P2,gpt,1.0,13,gpt4o,P2_10,0,True,,0,3.74
P2,gpt,1.0,9,gpt4o,P2_10,2,True,,0,4.4
P2,gpt,1.0,16,gpt4o,P2_10,0,True,,0,2.44
P2,gpt,1.0,18,gpt4o,P2_10,1,True,,0,2.54
P2,gpt,1.0,5,gpt4o,P2_10,2,True,,0,6.17
P2,gpt,1.0,22,gpt4o,P2_10,0,True,,0,3.58
P3,gpt,0.0,11,gpt4o,P3_16,0,True,,0,3.76
P2,gpt,1.0,26,gpt4o,P2_10,2,True,,0,3.92
P3,gpt,0.0,3,gpt4o,P3_16,0,True,,0,3.84
P2,gpt,1.0,29,gpt4o,P2_10,1,True,,0,3.88
P3,gpt,0.0,7,gpt4o,P3_16,0,True,,0,3.94
P3,gpt,0.0,4,gpt4o,P3_16,2,True,,0,3.97
P2,gpt,1.0,20,gpt4o,P2_10,0,True,,0,4.11
P3,gpt,0.0,9,gpt4o,P3_16,0,True,,0,3.53
P3,gpt,0.0,8,gpt4o,P3_16,0,True,,0,3.64
P3,gpt,0.0,17,gpt4o,P3_16,0,True,,0,2.66
P3,gpt,0.0,6,gpt4o,P3_16,0,True,,0,4.62
P3,gpt,0.0,16,gpt4o,P3_16,0,True,,0,2.8
P3,gpt,0.0,22,gpt4o,P3_16,0,True,,0,3.6
P3,gpt,0.0,25,gpt4o,P3_16,0,True,,0,3.89
P3,gpt,0.0,20,gpt4o,P3_16,0,True,,0,4.02
P3,gpt,0.0,27,gpt4o,P3_16,0,True,,0,4.01
C3,claude,0.0,4,gpt4o,C3_14,2,True,,0,3.85
C3,claude,0.0,3,gpt4o,C3_14,2,True,,0,3.95
C3,claude,0.0,1,gpt4o,C3_14,2,True,,0,4.08
C3,claude,0.0,5,gpt4o,C3_14,2,True,,0,3.84
C3,claude,0.0,2,gpt4o,C3_14,2,True,,0,4.02
P3,gpt,1.0,2,gpt4o,P3_16,0,True,,0,3.62
P3,gpt,1.0,7,gpt4o,P3_16,0,True,,0,3.54
P3,gpt,1.0,8,gpt4o,P3_16,0,True,,0,2.34
P3,gpt,0.0,29,gpt4o,P3_16,0,True,,0,2.96
P3,gpt,0.0,30,gpt4o,P3_16,0,True,,0,4.17
C3,claude,0.0,8,gpt4o,C3_14,2,True,,0,3.92
P3,gpt,1.0,6,gpt4o,P3_16,0,True,,0,4.06
C3,claude,0.0,11,gpt4o,C3_14,2,True,,0,3.86
C3,claude,0.0,10,gpt4o,C3_14,2,True,,0,3.92
C3,claude,0.0,6,gpt4o,C3_14,2,True,,0,4.02
