cell_id,問,症例,モデル,tag_id,優先度※参考,記載先,事実（日本語）,Fact (EN),採点
01_C2_01,1,C2,gpt,C2_01,低(省略可),B,体温36.4℃,Body temperature 36.4C,0
01_C2_02,1,C2,gpt,C2_02,高(必須),B,脈拍72/分(心房細動・絶対不整脈),"Pulse 72/min (AF, irregularly irregular)",0
01_C2_03,1,C2,gpt,C2_03,中,B,血圧118/68mmHg,BP 118/68 mmHg,0
01_C2_04,1,C2,gpt,C2_04,低(省略可),B,呼吸数18/分,Respiration 18/min,0
01_C2_05,1,C2,gpt,C2_05,低(省略可),B,SpO2 96%,SpO2 96% (room air),0
01_C2_06,1,C2,gpt,C2_06,高(必須),B,体重72→66kg(6kg減),Weight 72->66kg (-6kg),1
01_C2_07,1,C2,gpt,C2_07,高(必須),A,BNP 1420→285pg/mL,BNP 1420->285 pg/mL,0
01_C2_08,1,C2,gpt,C2_08,高(必須),B,LVEF 38%,LVEF 38%,0
01_C2_09,1,C2,gpt,C2_09,高(必須),A,6分間歩行180→320m,6MWT 180->320m,1
01_C2_10,1,C2,gpt,C2_10,中,A,下腿浮腫消失、ラ音消失,Lower limb edema and rales resolved,0
01_C2_11,1,C2,gpt,C2_11,高(必須),B,心房細動・CKD G3a・高血圧既往,"AF, CKD G3a, HTN history",0
01_C2_12,1,C2,gpt,C2_12,高(必須),B,入院第18病日、退院前日,"Hospital day 18, day before discharge",1
01_C2_13,1,C2,gpt,C2_13,中,B,利尿薬調整・心リハ完遂,"Diuretic adjustment, cardiac rehab completed",1
01_C2_14,1,C2,gpt,C2_14,高(必須),A,再増悪不安,Anxiety about re-exacerbation,2
01_C2_15,1,C2,gpt,C2_15,高(必須),A,妻76歳との二人暮らし、介護力制限,"Lives with 76yo wife, limited caregiving",2
01_C2_16,1,C2,gpt,C2_16,中,A,長男家族の距離(車30分),Eldest son's family 30min drive,1
01_C2_17,1,C2,gpt,C2_17,中,A,塩分制限継続困難の自覚,Acknowledges difficulty with salt restriction,2
01_C2_18,1,C2,gpt,C2_18,高(必須),R,訪問看護週2回導入,Visiting nursing 2x/wk planned,2
01_C2_19,1,C2,gpt,C2_19,中,R,多職種カンファレンス予定,Multidisciplinary conference scheduled,2
01_C2_20,1,C2,gpt,C2_20,高(必須),R,体重・塩分・活動量・受診基準指導,"Education: weight, salt, activity, ER criteria",1
02_A3_01,2,A3,gemini,A3_01,低(省略可),B,体温36.8℃,Body temperature 36.8C,0
02_A3_02,2,A3,gemini,A3_02,中,B,脈拍96/分,Pulse 96/min,0
02_A3_03,2,A3,gemini,A3_03,低(省略可),B,血圧138/82mmHg,BP 138/82 mmHg,0
02_A3_04,2,A3,gemini,A3_04,高(必須),S,呼吸数24/分,Respiration 24/min,0
02_A3_05,2,A3,gemini,A3_05,高(必須),S,SpO2 91%(O2 2L),SpO2 91% (O2 2L),2
02_A3_06,2,A3,gemini,A3_06,高(必須),B,Room air SpO2 88%,Room air SpO2 88%,2
02_A3_07,2,A3,gemini,A3_07,高(必須),A,労作時SpO2 86%,SpO2 86% on exertion,2
02_A3_08,2,A3,gemini,A3_08,高(必須),A,pH 7.34,pH 7.34,0
02_A3_09,2,A3,gemini,A3_09,高(必須),A,PaCO2 58mmHg(CO2貯留),PaCO2 58 mmHg (retention),1
02_A3_10,2,A3,gemini,A3_10,高(必須),A,PaO2 56mmHg,PaO2 56 mmHg,0
02_A3_11,2,A3,gemini,A3_11,中,A,HCO3- 30mEq/L,HCO3- 30 mEq/L,0
02_A3_12,2,A3,gemini,A3_12,高(必須),S,両肺呼気性喘鳴・右下湿性ラ音,"Bilateral expiratory wheezes, R-lower wet rales",2
