case_id,model,temperature,trial,tag_id,arbiter_score,arbiter_success,arbiter_error,retry_count,elapsed_sec
C3,gemini,0.0,1,C3_14,2,True,,0,4.17
C3,gemini,0.0,2,C3_14,2,True,,0,4.19
C3,gemini,0.0,4,C3_14,2,True,,0,4.21
C3,gemini,0.0,3,C3_14,2,True,,0,5.83
C3,gemini,0.0,5,C3_14,2,True,,0,1.82
C3,gemini,0.0,6,C3_14,2,True,,0,1.79
C3,gemini,0.0,7,C3_14,2,True,,0,1.81
C3,gemini,0.0,8,C3_14,2,True,,0,2.25
C3,gemini,0.0,9,C3_14,2,True,,0,2.27
C3,gemini,0.0,11,C3_14,2,True,,0,2.33
C3,gemini,0.0,10,C3_14,2,True,,0,2.67
C3,gemini,0.0,12,C3_14,2,True,,0,2.04
C3,gemini,0.0,14,C3_14,2,True,,0,2.22
C3,gemini,0.0,13,C3_14,2,True,,0,2.39
C3,gemini,0.0,15,C3_14,2,True,,0,2.05
C3,gemini,0.0,16,C3_14,2,True,,0,1.56
C3,gemini,0.0,18,C3_14,2,True,,0,2.41
C3,gemini,0.0,17,C3_14,2,True,,0,2.52
C3,gemini,0.0,19,C3_14,2,True,,0,2.46
C3,gemini,0.0,20,C3_14,2,True,,0,1.89
C3,gemini,0.0,21,C3_14,2,True,,0,2.1
C3,gemini,0.0,22,C3_14,2,True,,0,2.1
C3,gemini,0.0,23,C3_14,2,True,,0,2.22
C3,gemini,0.0,24,C3_14,2,True,,0,1.92
C3,gemini,0.0,25,C3_14,2,True,,0,2.37
C3,gemini,0.0,26,C3_14,2,True,,0,2.35
C3,gemini,0.0,28,C3_14,2,True,,0,2.28
C3,gemini,0.0,27,C3_14,2,True,,0,2.7
C3,gemini,0.0,29,C3_14,2,True,,0,2.25
C3,gemini,0.0,30,C3_14,2,True,,0,2.26
C3,gemini,1.0,4,C3_14,2,True,,0,2.44
C3,gemini,1.0,6,C3_14,2,True,,0,2.25
C3,gemini,1.0,8,C3_14,2,True,,0,2.19
C3,gemini,1.0,16,C3_14,2,True,,0,2.23
C3,gemini,1.0,22,C3_14,2,True,,0,2.04
C3,gemini,1.0,19,C3_14,2,True,,0,2.66
C3,gemini,1.0,25,C3_14,2,True,,0,1.9
C3,gemini,1.0,27,C3_14,2,True,,0,1.93
C3,gemini,1.0,29,C3_14,2,True,,0,2.11
C3,gpt,0.0,8,C3_14,2,True,,0,2.8
C3,gpt,1.0,9,C3_14,2,True,,0,1.9
C3,gpt,1.0,11,C3_14,2,True,,0,1.82
C3,gpt,1.0,14,C3_14,2,True,,0,1.72
C3,gpt,1.0,21,C3_14,1,True,,0,2.02
C3,gpt,1.0,27,C3_14,2,True,,0,2.02
C3,gpt55,0.0,2,C3_14,2,True,,0,2.09
C3,gpt55,0.0,21,C3_14,2,True,,0,2.24
P2,gemini,1.0,12,P2_10,2,True,,0,2.05
P2,gpt,0.0,11,P2_10,0,True,,0,2.1
P2,gpt,0.0,7,P2_10,2,True,,0,2.2
P2,gpt,0.0,12,P2_10,0,True,,0,1.86
P2,gpt,0.0,15,P2_10,0,True,,0,1.95
P2,gpt,0.0,22,P2_10,0,True,,0,2.25
P2,gpt,0.0,19,P2_10,0,True,,0,2.34
P2,gpt,0.0,26,P2_10,1,True,,0,2.1
P2,gpt,1.0,6,P2_10,0,True,,0,1.5
P2,gpt,1.0,10,P2_10,0,True,,0,1.98
P2,gpt,1.0,22,P2_10,0,True,,0,2.0
P2,gpt,1.0,13,P2_10,0,True,,0,2.15
P2,gpt,1.0,28,P2_10,1,True,,0,2.59
P2,gpt,1.0,29,P2_10,0,True,,0,1.91
P2,gpt,1.0,30,P2_10,1,True,,0,2.15
P2,gpt55,0.0,13,P2_10,0,True,,0,2.21
P2,gpt55,0.0,17,P2_10,0,True,,0,1.84
P2,gpt55,0.0,42,P2_10,0,True,,0,2.12
P2,gpt55,0.0,43,P2_10,2,True,,0,1.97
P2,gpt55,0.0,60,P2_10,1,True,,0,1.41
P2,gpt55,0.0,54,P2_10,0,True,,0,2.51
P3,claude,0.0,9,P3_16,2,True,,0,1.53
P3,gemini,1.0,5,P3_16,2,True,,0,1.77
P3,gemini,1.0,9,P3_16,0,True,,0,1.86
P3,gemini,1.0,13,P3_16,1,True,,0,1.62
P3,gemini,1.0,7,P3_16,2,True,,0,2.4
P3,gemini,1.0,15,P3_16,2,True,,0,1.92
P3,gemini,1.0,17,P3_16,1,True,,0,2.04
P3,gemini,1.0,30,P3_16,0,True,,0,1.92
P3,gemini,1.0,20,P3_16,1,True,,0,2.13
P3,gpt,0.0,4,P3_16,0,True,,0,1.66
P3,gpt,0.0,5,P3_16,0,True,,0,1.95
P3,gpt,1.0,4,P3_16,0,True,,0,2.07
P3,gpt,0.0,10,P3_16,0,True,,0,2.57
P3,gpt,1.0,5,P3_16,0,True,,0,2.12
P3,gpt,1.0,12,P3_16,1,True,,0,1.5
P3,gpt,1.0,16,P3_16,1,True,,0,1.85
P3,gpt,1.0,24,P3_16,1,True,,0,2.01
P3,gpt,1.0,20,P3_16,1,True,,0,2.11
P3,gpt,1.0,26,P3_16,0,True,,0,1.84
P3,gpt,1.0,28,P3_16,1,True,,0,1.53
P3,gpt,1.0,29,P3_16,0,True,,0,1.64
