case_id,model,temperature,trial,judge,tag_id,score,judge_success,judge_error,retry_count,elapsed_sec
C3,gpt,0.0,28,gemini,C3_14,2,True,,0,6.13
C3,gpt,0.0,11,gemini,C3_14,2,True,,0,6.68
C3,gpt,0.0,14,gemini,C3_14,2,True,,0,6.64
C3,gpt,0.0,6,gemini,C3_14,2,True,,0,6.87
C3,gpt,0.0,15,gemini,C3_14,2,True,,0,6.88
C3,gpt,0.0,5,gemini,C3_14,2,True,,0,6.97
C3,gpt,0.0,7,gemini,C3_14,2,True,,0,7.05
C3,gpt,0.0,22,gemini,C3_14,2,True,,0,6.4
C3,gpt,0.0,9,gemini,C3_14,2,True,,0,7.15
C3,gemini,1.0,24,gemini,C3_14,2,True,,0,7.18
C3,gemini,1.0,30,gemini,C3_14,2,True,,0,7.27
C3,gpt,0.0,18,gemini,C3_14,2,True,,0,7.23
C3,gpt,0.0,17,gemini,C3_14,2,True,,0,7.35
C3,gpt,1.0,7,gemini,C3_14,2,True,,0,0.89
C3,gemini,1.0,23,gemini,C3_14,2,True,,0,7.48
C3,gpt,0.0,16,gemini,C3_14,2,True,,0,7.24
C3,gpt,0.0,1,gemini,C3_14,2,True,,0,7.48
C3,gpt,0.0,29,gemini,C3_14,2,True,,0,6.67
C3,gpt,0.0,20,gemini,C3_14,2,True,,0,6.89
C3,gpt,0.0,12,gemini,C3_14,2,True,,0,7.46
C3,gpt,1.0,6,gemini,C3_14,2,True,,0,0.81
C3,gpt,1.0,15,gemini,C3_14,2,True,,0,0.68
C3,gpt,1.0,3,gemini,C3_14,2,True,,0,0.91
C3,gpt,1.0,1,gemini,C3_14,2,True,,0,6.63
C3,gpt,1.0,11,gemini,C3_14,1,True,,0,0.63
C3,gpt,1.0,5,gemini,C3_14,2,True,,0,0.8
C3,gpt,1.0,10,gemini,C3_14,2,True,,0,0.84
C3,gpt,1.0,13,gemini,C3_14,2,True,,0,0.83
C3,gpt,1.0,24,gemini,C3_14,2,True,,0,0.64
C3,gpt,1.0,12,gemini,C3_14,2,True,,0,0.83
C3,gpt,1.0,26,gemini,C3_14,2,True,,0,0.83
C3,gpt,1.0,9,gemini,C3_14,1,True,,0,1.03
C3,gpt,1.0,25,gemini,C3_14,1,True,,0,0.83
C3,gpt,1.0,27,gemini,C3_14,1,True,,0,0.72
P2,gpt,0.0,6,gemini,P2_10,2,True,,0,0.82
C3,gpt,1.0,29,gemini,C3_14,2,True,,0,0.82
C3,gpt,1.0,30,gemini,C3_14,2,True,,0,0.82
P2,gpt,0.0,9,gemini,P2_10,0,True,,0,0.82
P2,gpt,0.0,15,gemini,P2_10,2,True,,0,0.81
P2,gpt,0.0,13,gemini,P2_10,0,True,,0,0.81
P2,gpt,0.0,10,gemini,P2_10,0,True,,0,1.01
P2,gpt,0.0,8,gemini,P2_10,0,True,,0,1.01
P2,gpt,0.0,11,gemini,P2_10,2,True,,0,0.79
P2,gpt,0.0,18,gemini,P2_10,0,True,,0,1.01
P2,gpt,0.0,12,gemini,P2_10,2,True,,0,0.9
P2,gpt,0.0,7,gemini,P2_10,1,True,,0,1.11
P2,gpt,0.0,22,gemini,P2_10,2,True,,0,0.99
P2,gpt,0.0,16,gemini,P2_10,0,True,,0,0.78
P2,gpt,0.0,27,gemini,P2_10,0,True,,0,0.88
P2,gpt,0.0,20,gemini,P2_10,0,True,,0,0.88
P2,gpt,0.0,24,gemini,P2_10,1,True,,0,0.79
P2,gpt,0.0,29,gemini,P2_10,1,True,,0,0.79
P2,gpt,1.0,4,gemini,P2_10,2,True,,0,0.69
P2,gpt,1.0,12,gemini,P2_10,2,True,,0,0.67
P2,gpt,1.0,5,gemini,P2_10,2,True,,0,0.88
P2,gpt,1.0,1,gemini,P2_10,1,True,,0,0.67
P2,gpt,1.0,10,gemini,P2_10,1,True,,0,0.79
P2,gpt,1.0,9,gemini,P2_10,2,True,,0,0.79
P2,gpt,1.0,17,gemini,P2_10,0,True,,0,0.78
P2,gpt,1.0,15,gemini,P2_10,0,True,,0,0.79
P2,gpt,1.0,13,gemini,P2_10,1,True,,0,0.79
P2,gpt,1.0,22,gemini,P2_10,1,True,,0,0.69
P2,gpt,1.0,16,gemini,P2_10,0,True,,0,0.69
P2,gpt,1.0,26,gemini,P2_10,2,True,,0,0.79
P2,gpt,1.0,18,gemini,P2_10,1,True,,0,0.88
P2,gpt,1.0,20,gemini,P2_10,0,True,,0,0.9
P3,gpt,0.0,6,gemini,P3_16,0,True,,0,0.81
P2,gpt,1.0,29,gemini,P2_10,2,True,,0,0.9
P3,gpt,0.0,4,gemini,P3_16,0,True,,0,0.81
P3,gpt,0.0,8,gemini,P3_16,0,True,,0,0.92
P3,gpt,0.0,9,gemini,P3_16,0,True,,0,0.83
P3,gpt,0.0,16,gemini,P3_16,0,True,,0,0.83
P3,gpt,0.0,11,gemini,P3_16,0,True,,0,0.92
P3,gpt,0.0,22,gemini,P3_16,0,True,,0,0.84
P3,gpt,0.0,3,gemini,P3_16,0,True,,0,1.05
P3,gpt,0.0,17,gemini,P3_16,0,True,,0,0.96
P3,gpt,0.0,20,gemini,P3_16,0,True,,0,0.84
P3,gpt,0.0,7,gemini,P3_16,0,True,,0,1.04
P3,gpt,0.0,25,gemini,P3_16,0,True,,0,0.84
C3,claude,0.0,2,gemini,C3_14,2,True,,0,0.74
P3,gpt,0.0,27,gemini,P3_16,0,True,,0,0.84
C3,claude,0.0,1,gemini,C3_14,2,True,,0,0.83
C3,claude,0.0,3,gemini,C3_14,2,True,,0,0.83
P3,gpt,1.0,2,gemini,P3_16,0,True,,0,0.73
C3,claude,0.0,4,gemini,C3_14,2,True,,0,0.86
C3,claude,0.0,5,gemini,C3_14,2,True,,0,0.86
P3,gpt,1.0,7,gemini,P3_16,0,True,,0,0.75
P3,gpt,1.0,8,gemini,P3_16,0,True,,0,0.85
P3,gpt,1.0,6,gemini,P3_16,0,True,,0,0.75
P3,gpt,0.0,26,gemini,P3_16,0,True,,0,0.63
P3,gpt,0.0,29,gemini,P3_16,0,True,,0,0.86
C3,claude,0.0,7,gemini,C3_14,2,True,,0,0.85
C3,claude,0.0,6,gemini,C3_14,2,True,,0,0.85
P3,gpt,0.0,30,gemini,P3_16,0,True,,0,0.85
C3,claude,0.0,9,gemini,C3_14,2,True,,0,0.83
C3,claude,0.0,12,gemini,C3_14,2,True,,0,0.73
C3,claude,0.0,10,gemini,C3_14,2,True,,0,0.83
C3,claude,0.0,11,gemini,C3_14,2,True,,0,0.83
C3,claude,0.0,8,gemini,C3_14,2,True,,0,0.83
C3,claude,0.0,17,gemini,C3_14,2,True,,0,0.65
C3,claude,0.0,13,gemini,C3_14,2,True,,0,0.74
P3,gpt,1.0,17,gemini,P3_16,0,True,,0,0.61
C3,claude,0.0,14,gemini,C3_14,2,True,,0,0.82
C3,claude,0.0,15,gemini,C3_14,2,True,,0,0.84
P3,gpt,1.0,9,gemini,P3_16,2,True,,0,0.81
P3,gpt,1.0,15,gemini,P3_16,2,True,,0,0.81
P3,gpt,1.0,13,gemini,P3_16,2,True,,0,0.81
C3,claude,0.0,16,gemini,C3_14,2,True,,0,0.81
C3,claude,0.0,18,gemini,C3_14,2,True,,0,0.8
C3,claude,0.0,21,gemini,C3_14,2,True,,0,0.7
