case_id,model,temperature,trial,judge,sbar_section,sentence
A1,claude,0.0,1,gpt4o,R,緊急性は低いですが、本日中のご指示をお願いいたします。
A1,claude,0.0,7,gpt4o,R,緊急性は低いですが、本日中のご指示をお願いいたします。
A1,claude,0.0,8,gpt4o,R,または併用薬（アセトアミノフェンなど）の追加をご検討いただけますでしょうか。
A1,gpt,1.0,7,gpt4o,B,痛みは右下腹部に限局。
A1,gpt,1.0,23,gpt4o,B,バイタル正常だが、痛みと体動の制限で睡眠障害発生。
A1,gpt,1.0,30,gpt4o,B,急性疾患のカテゴリー。
A1,gpt,1.0,30,gpt4o,B,手術翌日の午前中、痛みのため体動が制限され、睡眠が障害されています。
A1,gpt,1.0,30,gpt4o,A,定時鎮痛薬の効果が短く、投与間隔の見直しが必要です。
A1,claude,0.0,27,gpt4o,R,緊急性は低いですが、本日中のご指示をお願いいたします。
A1,claude,0.0,29,gpt4o,R,緊急性は低いですが、本日中のご指示をお願いいたします。
A1,claude,1.0,6,gpt4o,R,本日中にご指示をいただければ、日勤帯から対応可能です。
A1,claude,1.0,9,gpt4o,B,現在ロキソプロフェン60mgを6時間ごと定時投与中。
A1,claude,1.0,16,gpt4o,R,緊急性は高くありませんが、本日中の指示変更をお願いしたいです。
A2,gpt,1.0,16,gpt4o,B,保存的一時ケアとして輸液治療を開始。
A1,claude,1.0,23,gpt4o,R,アセトアミノフェン併用も選択肢かと思います。
A1,claude,1.0,24,gpt4o,R,または併用薬（アセトアミノフェンなど）の追加をご検討いただけますでしょうか。
A2,claude,0.0,2,gpt4o,R,2時間後の再検査指示と、意識レベル改善なければ追加評価の基準をご指示ください。
A2,claude,0.0,10,gpt4o,R,2時間後の再検査の要否、意識レベル改善なき場合の対応についてご指示ください。
A2,claude,0.0,25,gpt4o,R,2時間後の再検査指示と、意識レベル改善なければ追加評価の基準をご指示ください。
A2,claude,0.0,27,gpt4o,R,2時間後の再検査指示と、意識レベル改善がない場合の対応方針をご指示ください。
A3,gpt,1.0,21,gpt4o,R,在宅酸素療法に関する心理療法的アプローチを検討してください。
A2,claude,1.0,2,gpt4o,R,2時間
A2,claude,1.0,8,gpt4o,R,2時間後の再検査の要否と、意識レベル改善がない場合の追加検査についてご指示をお願いします。
A2,claude,1.0,14,gpt4o,R,2時間後の再検査指示と、意識レベル改善がない場合の対応方針をご指示ください。
A2,claude,1.0,18,gpt4o,R,また、意識改善が
A2,claude,1.0,20,gpt4o,R,2時間後の採血再検と意識レベル改善がなければ再評価をご検討ください。
A2,claude,1.0,19,gpt4o,R,意識レベル改善がなければ頭部CT等の追加検査のご検討をお願いします。
A3,claude,0.0,6,gpt4o,R,また、夜間咳嗽への対応として就寝前の去痰薬追加や吸入タイミングの調整についてご検討いただけますか。
A3,claude,0.0,20,gpt4o,R,また、夜間咳嗽への対応として就寝前の去痰薬追加や吸入タイミングの調整についてご検討いただけますか。
A3,claude,0.0,24,gpt4o,R,就寝前の去痰薬追加や体位調整の指示をご検討ください。
C3,gpt,1.0,12,gpt4o,R,術前夜に手術室看護師から予診を再説明し、不安を軽減する対応を検討お願いします。
C2,claude,0.0,5,gpt4o,R,緊急性は低いですが、退院可否の最
C2,claude,0.0,12,gpt4o,R,緊急性は低いですが、退院可否の最終判断をご検討ください。
C2,claude,0.0,24,gpt4o,R,緊急度は低いですが、本日中にご確認いただければ幸いです。
C2,claude,0.0,20,gpt4o,R,退院時指導内容（体重測定、増悪時受診基準）の最終確認と、配食サービス導入についてご検討いただ
C2,claude,0.0,30,gpt4o,R,緊急度：通常対応。
C2,claude,0.0,29,gpt4o,R,緊急度は低いですが、本日中にご確認いただければ幸いです。
C2,claude,1.0,1,gpt4o,R,緊急性は低いですが、退院前に方針
C2,claude,1.0,4,gpt4o,R,緊急性は低いですが、退院前
C2,claude,1.0,6,gpt4o,R,緊急度は低いですが、本日中にご確認い
C2,claude,1.0,11,gpt4o,R,明日の退院前カンファレンスで、体重測
C2,claude,1.0,26,gpt4o,R,緊急性は低いですが、明日午前の退院前カンファレンスへのご参加をお願いします。
C2,claude,1.0,29,gpt4o,R,【緊急度：通常】
C2,claude,1.0,30,gpt4o,R,増悪
P3,gpt,1.0,15,gpt4o,R,医師からの支持があれば、臨床宗教師との面会を調整し、患者の霊的支援を強化します。
P1,claude,0.0,28,gpt4o,R,必要時の睡眠導
P1,claude,1.0,2,gpt4o,R,緊急性は中等度ですが、
P1,claude,1.0,7,gpt4o,S,入眠困難と食事摂取量低下（5割）が続いています。
P1,claude,1.0,7,gpt4o,R,以下3点をご相談させてください。①緩和ケアチーム（精神科リエゾン含む）への介入依頼、②第2クール開始前の制吐療法見直し、③睡眠導入剤使用のご検討。
P1,claude,1.0,15,gpt4o,R,以下3点のご検討をお願いします。
