case_id,model,temperature,trial,tag_id,arbiter_score,arbiter_success,arbiter_error,retry_count,elapsed_sec
A1,claude,0.0,1,A1_15,0,True,,0,4.22
A1,claude,0.0,1,A1_18,2,True,,0,4.22
A1,claude,0.0,1,A1_14,1,True,,0,4.23
A1,claude,0.0,2,A1_14,1,True,,0,4.31
A1,claude,0.0,2,A1_17,0,True,,0,1.95
A1,claude,0.0,2,A1_16,0,True,,0,1.96
A1,claude,0.0,2,A1_15,0,True,,0,1.99
A1,claude,0.0,2,A1_18,2,True,,0,2.61
A1,claude,0.0,2,A1_20,1,True,,0,1.87
A1,claude,0.0,3,A1_14,1,True,,0,1.85
A1,claude,0.0,3,A1_15,0,True,,0,1.56
A1,claude,0.0,2,A1_19,0,True,,0,3.09
A1,claude,0.0,3,A1_18,2,True,,0,1.82
A1,claude,0.0,4,A1_14,1,True,,0,1.69
A1,claude,0.0,4,A1_08,1,True,,0,2.14
A1,claude,0.0,4,A1_15,0,True,,0,1.44
A1,claude,0.0,4,A1_18,2,True,,0,1.56
A1,claude,0.0,5,A1_14,1,True,,0,1.81
A1,claude,0.0,5,A1_15,0,True,,0,1.88
A1,claude,0.0,5,A1_17,0,True,,0,1.7
A1,claude,0.0,5,A1_18,2,True,,0,1.52
A1,claude,0.0,6,A1_14,1,True,,0,1.74
A1,claude,0.0,6,A1_15,0,True,,0,1.89
A1,claude,0.0,6,A1_18,2,True,,0,1.77
A1,claude,0.0,7,A1_14,1,True,,0,1.64
A1,claude,0.0,7,A1_15,0,True,,0,1.68
A1,claude,0.0,7,A1_18,2,True,,0,1.87
A1,claude,0.0,8,A1_14,1,True,,0,1.79
A1,claude,0.0,8,A1_15,1,True,,0,1.91
A1,claude,0.0,8,A1_18,2,True,,0,1.72
A1,claude,0.0,9,A1_15,0,True,,0,1.73
A1,claude,0.0,9,A1_18,2,True,,0,1.63
A1,claude,0.0,9,A1_14,1,True,,0,2.86
A1,claude,0.0,10,A1_08,1,True,,0,1.79
A1,claude,0.0,10,A1_15,0,True,,0,1.45
A1,claude,0.0,10,A1_14,1,True,,0,2.2
A1,claude,0.0,10,A1_18,2,True,,0,1.58
A1,claude,0.0,11,A1_14,1,True,,0,1.6
A1,claude,0.0,11,A1_15,0,True,,0,1.85
A1,claude,0.0,11,A1_18,2,True,,0,1.78
A1,claude,0.0,12,A1_14,0,True,,0,1.69
A1,claude,0.0,12,A1_15,0,True,,0,1.92
A1,claude,0.0,13,A1_14,1,True,,0,1.77
A1,claude,0.0,13,A1_18,2,True,,0,1.72
A1,claude,0.0,14,A1_14,1,True,,0,1.63
A1,claude,0.0,12,A1_18,2,True,,0,2.86
A1,claude,0.0,14,A1_15,0,True,,0,1.5
A1,claude,0.0,14,A1_18,2,True,,0,1.79
A1,claude,0.0,15,A1_14,1,True,,0,1.99
A1,claude,0.0,15,A1_15,1,True,,0,1.89
A1,claude,0.0,15,A1_18,2,True,,0,1.84
A1,claude,0.0,16,A1_08,2,True,,0,1.68
A1,claude,0.0,16,A1_15,0,True,,0,1.73
A1,claude,0.0,16,A1_14,0,True,,0,2.01
A1,claude,0.0,16,A1_18,2,True,,0,1.7
A1,claude,0.0,17,A1_08,1,True,,0,1.76
A1,claude,0.0,17,A1_14,1,True,,0,1.62
A1,claude,0.0,17,A1_15,0,True,,0,1.63
A1,claude,0.0,17,A1_18,2,True,,0,1.65
A1,claude,0.0,18,A1_08,2,True,,0,1.59
A1,claude,0.0,18,A1_14,0,True,,0,1.63
A1,claude,0.0,18,A1_15,0,True,,0,1.7
